review,rating,date,bank,source,sentiment_label,sentiment_score,theme_categories,review_id
what is this app problem???,1,2025-06-05,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996225833892822,Other,1
the app is proactive and a good connections.,5,2025-06-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998679161071776,Other,2
I cannot send to cbebirr app. through this app.,3,2025-06-05,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9953354001045228,Other,3
good,4,2025-06-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,4
not functional,1,2025-06-05,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.999778687953949,Features,5
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9905162453651428,Security,6
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9616847634315492,Other,7
best,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,Other,8
bezabih,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9654072523117064,Other,9
Best Mobile Banking app ever,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997294545173644,Other,10
good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,11
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.998119294643402,Transaction Performance,12
Good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,13
👌👍,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970566511154175,Other,14
very niec,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.5192599296569824,Other,15
best app of finance,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9996503591537476,Other,16
yetemeta,1,2025-06-03,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.6553667783737183,Other,17
Engida Kebede Fetera,5,2025-06-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8396738767623901,Other,18
good,5,2025-06-03,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,19
it is not safety,1,2025-06-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997867941856384,Security,20
NICE bank,5,2025-06-03,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999805510044098,Other,21
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997958540916444,Other,22
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997678399086,Other,23
It's good but try to make it facilitate for your client,4,2025-06-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9491770267486572,Other,24
best app,5,2025-06-01,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999686598777771,Other,25
Awesome bank,5,2025-06-01,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.99984610080719,Other,26
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9983141422271729,Account Access Issues;User Interface & Experience,27
Masha alla,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9514628052711488,Other,28
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9991102814674376,Account Access Issues;Features,29
better service,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9982219338417052,Customer Support,30
"it,s good app and time manager 👍",5,2025-05-30,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999837040901184,Other,31
malkaamuu Jiidhaa Namoo,5,2025-05-30,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9887813329696656,Other,32
lower system everything,3,2025-05-30,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9993475079536438,Other,33
Nice!,5,2025-05-30,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999863862991333,Other,34
Keep it up My CBE,5,2025-05-29,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9996104836463928,Other,35
yes good,5,2025-05-28,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998410940170288,Other,36
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996353387832642,Account Access Issues;Transaction Performance,37
i like everything of this app,5,2025-05-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9996908903121948,Other,38
good,5,2025-05-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,39
🤬🤬🤬🤬 network 🛜,1,2025-05-26,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6856130361557007,Other,40
Best,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,Other,41
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9982792139053344,Other,42
nice,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,Other,43
good job,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999835729598999,Other,44
Good,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,45
it's awesome!!,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999871015548706,Other,46
best,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,Other,47
thankyou every one,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.99984610080719,Other,48
best app,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999686598777771,Other,49
Ronaldo 🇵🇹 🥇,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9948286414146424,Other,50
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998852014541626,Customer Support,51
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997394680976868,Account Access Issues;Customer Support;Features,52
mortuary app,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.7924920320510864,Other,53
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9961044788360596,Other,54
amazing app I am used this app for one year,4,2025-05-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9991408586502076,Other,55
👍,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970566511154175,Other,56
good app,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,Other,57
i love it 😍😘,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998791217803956,Other,58
It makes life easy!👌,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9993600249290466,Other,59
its not fast,1,2025-05-24,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9949808716773988,Other,60
wow,4,2025-05-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999592125415802,Other,61
it is sooo good,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998735189437866,Other,62
excellent,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998434782028198,Other,63
