bank,rating,sentiment_score
Bank of Abyssinia,1,0.9778437384067138
Bank of Abyssinia,2,0.9356262358752164
Bank of Abyssinia,3,0.961892060695156
Bank of Abyssinia,4,0.9559302014463088
Bank of Abyssinia,5,0.959053501907715
Commercial Bank of Ethiopia,1,0.9633187130093575
Commercial Bank of Ethiopia,2,0.9792514443397522
Commercial Bank of Ethiopia,3,0.9762338598569235
Commercial Bank of Ethiopia,4,0.9521886351946238
Commercial Bank of Ethiopia,5,0.9753145222806752
Dashen Bank,1,0.995137303164511
Dashen Bank,2,0.9575959220528603
Dashen Bank,3,0.9976398646831512
Dashen Bank,4,0.9741374928018321
Dashen Bank,5,0.9847048585377042
